Course Name,Course Code,Course Description,Distribution Requirements,Breadth Requirements,Prerequisites,Corequisites,Hours
Comparative Caribbean Literature,CAR220H1,"Introduction to the rich and multi-linguistic literary traditions of the Caribbean and its diaspora, focusing on both canonical and emergent texts of Caribbean literature. Texts not originally written in English are read in translation.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),N/A,N/A,Hours: 24L
Comparative Caribbean Literature and Visual Culture,CAR221H1,"Focuses on recent literary and visual texts produced in the last decade, from the Caribbean, insular and continental, and its diaspora. Texts not originally written in English are read in translation. While  CAR220H1 is an excellent companion course,  CAR221H1 can be taken independently.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),N/A,N/A,Hours: 24L
Caribbean Societies,CAR225H1,"Offers an interdisciplinary introduction to Caribbean sociology, focusing on the writings of thinkers and scholars from the era of decolonization to the more contemporary period. Themes may include: colonial encounters in the making of Caribbean societies; the role of religion; popular consciousness; histories of capitalism and exploitation; the relationship between political institutions and the wider society; ""development"", dependency and ""underdevelopment"".",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",N/A,N/A,Hours: 24L/12T
Caribbean Political Thought,CAR226H1,"Examines currents of Caribbean political thought from the Haitian Revolution to the present. Themes may include: struggles for independence and liberation, particularly the Haitian and Cuban Revolutions; theories of dependency; Caribbean political systems; regional integration; contemporary political issues facing Caribbean societies today; analyses of capitalism by Caribbean thinkers.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",N/A,N/A,Hours: 24L/12T
"Caribbean Foodways Across History, Culture and Diaspora",CAR315H1,"Examines the historical roots of regional Caribbean food from the colonial period to the present day, and then moves to study Caribbean food in the global and Caribbean-Canadian diasporas, in the literary imagination, as a marker of personal, group and national identity, and as cultural expression.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",Prerequisite: Completion of 4.0 credits.,N/A,Hours: 24L
Caribbean Religions,CAR316H1,"Explores the complex and dynamic practices, philosophies and political and cultural contexts of Caribbean religions. Topics may include the profound impact - in both the Caribbean and its diasporas - of Caribbean Christianities, Hinduism and Islam as well as Afro-Creole religions such as Vodun, Rastafari and Santeria.",Distribution Requirements: Humanities,"Breadth Requirements: Thought, Belief and Behaviour (2)",Prerequisite: HIS230H1/  HIS231H1/  CAR120Y1/  CAR220H1/  CAR221H1/  NEW224Y1/  CAR225H1/  CAR226H1,N/A,Hours: 24L
Caribbean Women Writers,CAR317H1,"A critical feminist reading of selected works of fiction, poetry and essays by Caribbean women writers. The aim is to appraise the development of this literature, situate texts within the key social and political debates which have influenced the region's literary output, as well as to consider the implications of the environments within which these writers function.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),Prerequisite: Completion of 4.0 credits.,N/A,Hours: 24L
"Caribbean Visual Arts, Social Media and Performance",CAR321H1,"Explores themes relating to visual arts, social media and theatre in the Caribbean. Topics may include: theatre, film, mixed media arts, the role of the internet and online publishing in the arts and the relationship between artists, the state and wider society.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),Prerequisite: HIS230H1/  HIS231H1/  CAR120Y1/  CAR220H1/  CAR221H1/  NEW224Y1/  CAR225H1/  CAR226H1,N/A,Hours: 24L
Capitalism and Crisis in the Caribbean,CAR324H1,This upper level course examines the interplay between wider global processes and intra-regional responses that together help shape contemporary Caribbean realities. Topics include: economic crisis and structural adjustment; tourism; the agricultural sector; the Caribbean Single Market and Economy; migration and diaspora.,"Distribution Requirements: Humanities, Social Science",Breadth Requirements: Society and its Institutions (3),Prerequisite: HIS230H1/  HIS231H1/  CAR120Y1/  CAR220H1/  CAR221H1/  NEW224Y1/  CAR225H1/  CAR226H1,N/A,Hours: 24L
Caribbean Women Thinkers,CAR325H1,"An examination of the historical and political significance of writings (literary, political, scholarly) by Caribbean women who engage problems within Caribbean culture and provide insights into the endeavours of the peoples of the region.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),Prerequisite: Completion of 4.0 credits.,N/A,Hours: 24L
Caribbean Indentureship and its Legacies,CAR328H1,"Explores indentured migration and its legacies from the 17th century through to the present. Encourages students to think comparatively and transnationally about indentureship and diaspora, as well as indentured migration's relationship to contract and labour law.",Distribution Requirements: Humanities,Breadth Requirements: Society and its Institutions (3),Prerequisite: HIS230H1/  HIS231H1/  CAR120Y1/  CAR220H1/  CAR221H1/  NEW224Y1/  CAR225H1/  CAR226H1,N/A,Hours: 24L
Special Topics in Caribbean Studies,CAR329H1,An upper level course. Topics of study vary from year to year.,"Distribution Requirements: Humanities, Social Science",N/A,N/A,N/A,Hours: 24L
Puerto Rican Culture and Environment,CAR332Y0,"Based on readings, lectures, experiential activities and discussions,  CAR332Y0 examines the cultural and environmental history of Puerto Rico. The course explores debates on colonialism, capitalist modernity, development, ecosystems, religion, race and politics. Such analysis will help with the consideration of Puerto Rico as the last colony of the Americas within the larger context of the Caribbean. The course will include on-site excursions related to the lectures and reading material covered. This course will be taught in English.","Distribution Requirements: Humanities, Social Science","Breadth Requirements: Creative and Cultural Representations (1), Society and its Institutions (3)",Prerequisite: Completion of 4.0 credits,N/A,Hours: 48L
Global Perspectives on the Haitian Revolution,CAR421H1,"Examines the colonial pre-history of the Haitian Revolution (1791-1804). Explores how this transatlantic revolution unfolded, including the emancipation of slaves, Toussaint, Louverture, and the roles played by Spain, the United States and Britain. A reflection on the Revolution in contemporary literature and film.","Distribution Requirements: Humanities, Social Science",Breadth Requirements: Society and its Institutions (3),Prerequisite: HIS230H1/  HIS231H1/  CAR120Y1/  CAR220H1/  CAR221H1/  NEW224Y1/  CAR225H1/  CAR226H1,N/A,Hours: 24S
Caribbean Regionalism,CAR422H1,"In a public lecture in 1958, Trinidadian CLR James described Federation as the means to ""accomplish the transition from colonialism to national independence."" This course explores the shift from James' vision to Jamaican economist Norman Girvan's observation that contemporary ""...governments tend to perceive supranationality as less an exercise in collective sovereignty and more a diminution of national sovereignty."" Among the topics to be considered are: histories of regionalism; formal and informal dimensions of regional identity-making practices; freedom of movement; governance mechanisms; and widening and deepening debates, with particular reference to the non-Anglophone Caribbean and Latin America.",Distribution Requirements: Social Science,Breadth Requirements: Society and its Institutions (3),Prerequisite: Completion of at least 1.0 credit at the 300-level.,N/A,Hours: 24S
Special Topics in Caribbean Studies,CAR423H1,"An upper-level seminar. Topics vary from year to year, depending on the instructor.",Distribution Requirements: Humanities,N/A,Prerequisite: HIS230H1/  HIS231H1/  CAR120Y1/  CAR220H1/  CAR221H1/  NEW224Y1/  CAR225H1/  CAR226H1,N/A,Hours: 24S
Special Topics in Caribbean Studies,CAR426H1,"An upper level seminar. Topics vary from year to year, depending on the instructor.",Distribution Requirements: Humanities,N/A,N/A,N/A,Hours: 36S
Special Topics in Caribbean Studies,CAR426Y1,"An upper level seminar. Topics vary from year to year, depending on the instructor.",Distribution Requirements: Humanities,N/A,N/A,N/A,Hours: 72S
Caribbean Migrations and Diasporas,CAR428H1,Examines Caribbean migration in the post-slavery era. Topics include: Caribbean diasporas in the West; labour migrations such as the Panama Canal migration; Caribbean migrant communities in Central America; intra-regional migrations between the Caribbean islands; 'guest worker' programs; remittances and their impact; heritage tourism and 'return' migrations.,Distribution Requirements: Humanities,Breadth Requirements: Society and its Institutions (3),Prerequisite: HIS230H1/  HIS231H1/  CAR120Y1/  CAR220H1/  CAR221H1/  NEW224Y1/  CAR225H1/  CAR226H1,N/A,Hours: 24S
Caribbean Diaspora in Canada,CAR429H1,Explores the transnational circuits through which the Caribbean diaspora makes a living and makes life in contemporary Canada. How do we make sense of the Caribbean experience in Canada? What might an engagement with the Caribbean teach us about Canada as a diasporic space?,Distribution Requirements: Social Science,Breadth Requirements: Society and its Institutions (3),Prerequisite: CDN355H1/  HIS230H1/  HIS231H1/  CAR120Y1/  CAR220H1/  CAR221H1/  NEW224Y1/  CAR225H1/  CAR226H1,N/A,Hours: 24S
Advanced Topics in Caribbean Studies,CAR499H1,"A joint graduate/undergraduate upper-level seminar. Topics vary from year to year, depending on the instructor. Consult the Program Office for course enrolment procedures.","Distribution Requirements: Social Science, Humanities",N/A,"Prerequisite: CAR120Y1, at least 1.0 credit from the Caribbean Studies Core Group at the 300+ level. Students who do not meet the prerequisites are encouraged to contact the Program Office.",N/A,Hours: 24S
Introduction to Contemporary Asian Studies,CAS200H1,"This course is an introduction to Contemporary Asian Studies. It covers detailed case study material from South Asia, Southeast Asia, and East Asia. It introduces students to the interdisciplinary study of political, sociocultural and economic interactions among these regions, as well as the transnational forces shaping internal dynamics throughout Asia. In addition, it examines the ways that forces stemming from Asia are affecting global processes, pushing scholarship to engage questions about colonialism, nationalism, ""race,"" religion, markets, urbanization, migration, and mass mediated culture. This course provides preparation for more advanced courses on Asia and globalization and provides an introductory gateway for the Contemporary Asian Studies major and minor. May be taken in the first year of studies.",Distribution Requirements: Social Science,Breadth Requirements: Society and its Institutions (3),N/A,N/A,Hours: 24L
Global Asian Studies: Insights and Concepts,CAS201H1,"This course addresses Asia empirically in contemporary global formations and as an idea in the global imagination. It introduces students to concepts and theories central to scholarship on Asia and its transnational formations. It provides foundational theoretical and conceptual material to understand global issues as they play out in the politics, economies, cultures and contemporary social worlds of contemporary Asian sites. Interdisciplinary analytical and research concepts are introduced to provide area studies grounding. This course provides preparation to delve into deeper research on Asia connected to broad questions about the natures of democracy, authoritarianism, market formation, social justice, and the media of cultural expression. It informs students aiming to take more advanced courses on Asia and globalization and provides one part of the foundation for the Contemporary Asian Studies major and minor.  CAS201H1 introduces the theoretical and conceptual frameworks that are explored through further grounded empirical case studies in upper year CAS courses.",Distribution Requirements: Social Science,Breadth Requirements: Society and its Institutions (3),N/A,N/A,Hours: 24L
Global Asian Studies: Sites and Practices,CAS202H1,"This interdisciplinary course explores a variety of sites and topics in South, Southeast, and East Asia. It explores themes including contemporary and historical articulations of socio-economic development, (post)colonial political formations, urbanization processes, climate change, labour struggles, gender studies, migration, citizenship, and social justice. The course examines the diversity of Asian modernities, cross-regional linkages, and changing approaches to area studies over time. It provides a foundation for the Contemporary Asian Studies major and minor, preparing students for taking more advanced courses on Asia in the global context.",Distribution Requirements: Social Science,Breadth Requirements: Society and its Institutions (3),N/A,N/A,Hours: 24L
Comparative Colonialisms in Asia,CAS310H1,"This course analyzes the impact of colonialism in South, East, and Southeast Asia and the various ways in which pre-colonial traditions intersect with and reshape colonial and postcolonial process across the various regions of Asia. The course will examine the conjunctures of economy, politics, religion, education, ethnicity, gender, and caste, as these have played out over time in the making and re-making of Asia as both idea and place. Attention will be paid to postcolonial and indigenous theories, questions of ‘the colonial’ from the perspective of Asian Studies, and debates about the meaning of postcolonialism for the study of Asia now and in the future.","Distribution Requirements: Humanities, Social Science",Breadth Requirements: Society and its Institutions (3),Prerequisite: 0.5 CAS credit at the 200-level,N/A,Hours: 24L
Comparative Modernities in Asia,CAS320H1,"Since at least the late 1700s, the effects of capitalism across the globe have profoundly transformed the landscapes of human livelihood, consumption, production and governance in Asia. While colonial empires have declined, new empires have emerged, and a growing number of countries have witnessed the rise of nationalism and independent states, social, political and technological revolutions, and most recently neoliberal globalization. This course theorizes and explores these dramatic changes in a comparative framework. It is aimed at students wishing to better understand the great transformations of modern Asia in a global context.","Distribution Requirements: Humanities, Social Science",Breadth Requirements: Society and its Institutions (3),Prerequisite: 0.5 CAS credit at the 200-level,N/A,Hours: 24L
Asian Youth Cultures,CAS350H1,"In focusing on youth in Asia, this course brings together two disputed cultural formations of substantial contemporary importance. Both youth and Asia are increasingly invoked on the global stage in support of a wide range of interests. Examining practices of young people and the idea of youth in the context of Asia requires critical attention to the promises and fears that attach to the rise of Asian economies, international demographic transitions, the growth of a global middle-class, increasing consumption disparities, changing immigration patterns, expanding technological skills, global/local environmental concerns, and young people’s shifting political priorities and loyalties. The course may feature a significant amount of social theory, with authors such as Michel Foucault, Roland Barthes, Louis Althusser, and Stuart Hall.","Distribution Requirements: Humanities, Social Science",Breadth Requirements: Creative and Cultural Representations (1),Prerequisite: 6.0 credits,N/A,Hours: 24L
Asian Genders,CAS360H1,"This course will explore ways that gender is mobilized and produced in parts of Asia. It seeks to understand gender and sexuality in their diversity and in attempts to “fix” or locate it in various bodies and places. Attempts will be made to see how gender is made knowable in terms of sexuality, medicine, nation, class, ethnicity, religion, and other discourses. The course assumes a willingness to read challenging theory – such as the writings of Judith Butler, Michel Foucault, and Eve Sedgwick – and asks that students commit to regular attendance.",Distribution Requirements: Social Science,Breadth Requirements: Society and its Institutions (3),Prerequisite: 6.0 credits,N/A,Hours: 24L
Asian Cities,CAS370H1,"This course offers a multidisciplinary perspective of urban life in Asia. The thematic focus will be on how the urban intersects with modernities and postcolonial formations. Drawing on recent scholarship in the social sciences and the humanities, we will examine the realignment of cultural, political, and economic forces associated with Asia’s diverse processes of urbanization.",Distribution Requirements: Social Science,Breadth Requirements: Society and its Institutions (3),Prerequisite: 6.0 credits,N/A,Hours: 24L
Special Topics,CAS390H1,Course content varies in accordance with the interest of the instructor. Check http://munkschool.utoronto.ca/ai/cas for an updated description.,Distribution Requirements: Social Science,N/A,Prerequisite: 6.0 credits,N/A,Hours: 24L
Independent Research,CAS393H1,"Supervised independent research on a topic agreed on by the student and a faculty supervisor before enrolment in the course. Open to advanced CAS major and minor students with a strong background in contemporary Asian studies. A maximum of one year of Independent Research courses is allowed per program. Contact hours with the supervisor may vary, but typically comprise of one hour per week. Not eligible for CR/NCR option. To enrol, please contact ai.asianstudies@utoronto.ca to request an application form, which should be filled out in consultation with the faculty supervisor and include a detailed description of the course topic, reading list, and assignments/marking scheme. Students must submit the completed form to ai.asianstudies@utoronto.ca at least one week before the start of term.",N/A,N/A,"Prerequisite: 10.0 credits, an application form",N/A,N/A
Independent Research,CAS393Y1,"Supervised independent research on a topic agreed on by the student and a faculty supervisor before enrolment in the course. Open to advanced students in the CAS major and minor with a strong background in contemporary Asian studies. A maximum of one year of Independent Research courses is allowed per program. Contact hours with the supervisor may vary, but typically comprise of one hour per week. Not eligible for CR/NCR option. To enrol, please contact ai.asianstudies@utoronto.ca to request an application form, which should be filled out in consultation with the faculty supervisor and include a detailed description of the course topic, reading list, and assignments/marking scheme. Students must submit the completed form to ai.asianstudies@utoronto.ca at least one week before the start of term.",Distribution Requirements: Social Science,N/A,"Prerequisite: 10.0 credits, an application form",N/A,N/A
Interdisciplinary Research in Methods in Contemporary Asian Studies,CAS400H1,"This seminar addresses Asian worlds – In Asia, transnationally, and locally – to cultivate new approaches to global processes and problems. The course explores key Asian sites that open new configurations for studying interactions between economic/environmental development, political change, and migration and cultural politics. It provides an advanced and systematic overview of the research methodologies that students have been exposed to throughout the CAS program. These include historical-archival, ethnographic, visual/media, and statistical/quantitative methods that allow us to map Asian political, economic, and cultural formations, and through them, global challenges. The seminar builds interdisciplinary conversations attentive to both critical problematizing and problem-solving, to qualitative and applied projects. It is the required capstone to the Contemporary Asian Studies major.",Distribution Requirements: Social Science,Breadth Requirements: Society and its Institutions (3),Prerequisite: 1.0 200-level CAS credit and 1.0 300-level CAS credit,N/A,Hours: 24S
Asia and Canada,CAS413H1,"This course is an interactive, participatory seminar. It will provide an opportunity to complement theoretical understanding about Asia acquired in other courses through hands-on research and experiential learning. The course will enable students to link studying Asia and Canada to career trajectories in the field of development and research.",Distribution Requirements: Social Science,Breadth Requirements: Society and its Institutions (3),Prerequisite: 14.0 credits,N/A,Hours: 24S
The Public Event in Asia,CAS414H1,"This upper-level seminar will introduce students to the interdisciplinary study of popular culture in Asia through a focus on public events. Readings about all kinds of performances, including ritual, popular protest, festivals, sports, cinema, television, digital media events, and the performing arts will help students learn methodological tools to interpret the politics and meanings of public culture as it articulates with class, ethnicity, religious community, gender and caste. The course will furthermore familiarize students with a range of theoretical lenses for conceptualizing the different meanings of the “event” and the “public” from a perspective grounded in the histories of South Asia, Southeast Asia, East Asia, and their diasporas.",Distribution Requirements: Social Science,Breadth Requirements: Creative and Cultural Representations (1),Prerequisite: At least 14.0 credits,N/A,Hours: 24S
Asia and the New Global Economy,CAS420H1,"This course explores the rise of Asia and its integration into the new global economy (labour, capitalism, knowledge economy, economic nationalism, inequality, gender, the meaning of capitalism, democracy, among others), exposing students to diverse disciplinary perspectives. Geographical coverage is pan-Asian, including East, Southeast and South Asia.","Distribution Requirements: Humanities, Social Science",Breadth Requirements: Society and its Institutions (3),Prerequisite: 14.0 credits,N/A,Hours: 24S
Nationalism and Revolution in Asia,CAS430H1,"This course explores the far-reaching social, political, and cultural transformations in modern East, Southeast, and South Asia, focusing on the twentieth-century revolutionary histories and struggles to establish modern nation-states. The course adopts a topical approach within a chronological and comparative framework to highlight major historical movements and theoretical issues significant to the Asian experience.","Distribution Requirements: Humanities, Social Science",Breadth Requirements: Society and its Institutions (3),Prerequisite: 14.0 credits,N/A,Hours: 24L
Asian Pathways Research Practice,CAS450H1,"This seminar builds on the systematic overview of research methodologies of the Contemporary Asian Studies major and its capstone course,  CAS400H1.  CAS450H1 provides students with the opportunity to research questions of contemporary relevance stemming from Asia and its transnational networks and communities. Addressing a range of methodologies, including historical-archival, ethnographic, visual/media, and statistical/quantitative, the course emphasizes research experience outside the classroom, in Asia as well as locally with communities in Toronto. Students will develop their own research contributions while working collaboratively.",Distribution Requirements: Social Science,Breadth Requirements: Society and its Institutions (3),"Prerequisite: 14.0 credits, including 1.0 200-level CAS credit and 1.0 300-level CAS credit",N/A,Hours: 24S
Special Topics in Contemporary Asian Studies,CAS490H1,Course content varies in accordance with the interest of the instructor. Check http://munkschool.utoronto.ca/ai/cas for an updated description.,"Distribution Requirements: Humanities, Social Science",N/A,"Prerequisite: 14.0 credits, including 1.0 200-level CAS credit and 1.0 300-level CAS credit",N/A,Hours: 24S
Independent Research,CAS498H1,"Supervised independent research on a topic agreed on by the student and a faculty supervisor before enrolment in the course. Open to advanced CAS major and minor students with a strong background in contemporary Asian studies. A maximum of one year of Independent Research courses is allowed per program. Contact hours with the supervisor may vary, but typically comprise of one hour per week. Not eligible for CR/NCR option. To enrol, please contact ai.asianstudies@utoronto.ca to request an application form, which should be filled out in consultation with the faculty supervisor and include a detailed description of the course topic, reading list, and assignments/marking scheme. Students must submit the completed form to ai.asianstudies@utoronto.ca at least one week before the start of term.",Distribution Requirements: Social Science,N/A,"Prerequisite: 14.0 credits, including  CAS200Y1/( CAS201H1 and  CAS202H1),  CAS310H1",N/A,N/A
Independent Research,CAS498Y1,"Supervised independent research on a topic agreed on by the student and a faculty supervisor before enrolment in the course. Open to advanced CAS major and minor students with a strong background in contemporary Asian studies. A maximum of one year of Independent Research courses is allowed per program. Contact hours with the supervisor may vary, but typically comprise of one hour per week. Not eligible for CR/NCR option. To enrol, please contact ai.asianstudies@utoronto.ca to request an application form, which should be filled out in consultation with the faculty supervisor and include a detailed description of the course topic, reading list, and assignments/marking scheme. Students must submit the completed form to ai.asianstudies@utoronto.ca at least one week before the start of term.",Distribution Requirements: Social Science,N/A,"Prerequisite: 14.0 credits, including 1.0 200-level CAS credit and 1.0 300-level CAS credit",N/A,N/A
Inventing Canada,CDN197H1,"This course explores the ways that Canadian history and identity have been commemorated, interpreted and experienced, now and in the past. The course focuses in particular on who has been included or excluded in commemorative efforts over time. Key topics include representations of women, Indigenous peoples, and political figures on screen and through public installations like museum exhibits, plaques and statues. Case studies highlighting a range of interpretive media will encourage students to work with and discuss a range of primary and secondary sources, build critical thinking and academic writing skills. Restricted to first-year students. Not eligible for CR/NCR option.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),N/A,N/A,Hours: 24S
"Canada, Colonialism and Settler Relations",CDN198H1,"A First Year Foundations seminar focused on exploring Canada's colonial history and recent efforts to enact appropriate settler relations through an interdisciplinary lens. Topics will include contemporary land claims and treaty-making processes, the Royal Commission on Aboriginal Peoples, governmental apologies for the mistreatment of Indigenous peoples, the Truth and Reconciliation Commission, land acknowledgements, practices of allyship through social movement such as Idle No More, and efforts to influence Canada's overseas mining practices. Restricted to first-year students. Not eligible for CR/NCR option.",Distribution Requirements: Social Science,Breadth Requirements: Society and its Institutions (3),N/A,N/A,Hours: 24S
Canada- Hong Kong Migration,CDN199H1,"This course surveys the effects of migrations and cultural connections between Hong Kong and Canada from the 1960s. Students will discuss and analyze the impact of migrations, and study the connection between the two locations from the perspectives of history, culture and literature, politics and democracy, economic and financial development and the network of people and community. Restricted to first-year students. Not eligible for CR/NCR option.",Distribution Requirements: Social Science,Breadth Requirements: Society and its Institutions (3),N/A,N/A,Hours: 24S
Aspects of Québec Culture,CDN202H1,"An exploration of modern Québec culture as expressed in literature and the performing arts. Through a selection of internationally-known entertainers, we examine form, artistic innovation, communication of information and knowledge, and spectatorship. Novels and plays provide key elements such as tradition and historical context.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),N/A,N/A,Hours: 24S
Topics in Canadian Studies I,CDN205H1,A focused introduction to specific issues in Canadian culture and society. Content will vary from year to year. Specific course information will be available on the Canadian Studies website at www.uc.utoronto.ca/canadianstudies.,"Distribution Requirements: Humanities, Social Science",N/A,N/A,N/A,Hours: 24L
Voices in Canadian Writing,CDN218H1,"A study of the variety of voices in Canadian fiction with a focus on contemporary writers. Issues such as marginalization, migration, diaspora and the formulation of the Canadian canon are discussed.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),N/A,N/A,Hours: 24S
Culture and the Media in Canada,CDN221H1,"An exploration of the encounter between culture and mass communication in Canadian society. The course considers the role of major cultural institutions such as the CBC, the NFB, and their granting bodies. The emergence of digital media and its relationship to mass media is also addressed.",Distribution Requirements: Social Science,Breadth Requirements: Creative and Cultural Representations (1),N/A,N/A,Hours: 24L
Italian Canadian Studies,CDN240H1,"An interdisciplinary course that examines the social, economic, and political forces and events that have shaped the Italian Canadian experience. Topics include initial and subsequent settlement patterns including suburbanization, identity formation, education, mobility, work, media, multiculturalism, transnationalism, and political participation and representation. The course interrogates the complexities of the social and cultural interactions of Italian Canadians in the context of the changing demography of Canada.",Distribution Requirements: Social Science,Breadth Requirements: Society and its Institutions (3),N/A,N/A,Hours: 24L
Canadian Nationalisms,CDN267H1,"A critical examination of contemporary forms of Canadian nationalism. This interdisciplinary course will interrogate national formations across theoretical works, policy documents, and cultural representations. Students will address the ways that nationalist discourses constitute difference, especially with respect to race, ethnicity, gender, and sexuality.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),N/A,N/A,Hours: 24L
Canada and Globalization,CDN268H1,"Students examine the impact of contemporary globalization on Canada, and for Canada’s place in the world. The course is interdisciplinary in its approach and addresses globalization from a wide range of perspectives, including mobility, trade, urbanization, health, religion, environmental change, technology, communications, and the arts.",Distribution Requirements: Social Science,Breadth Requirements: Society and its Institutions (3),N/A,N/A,Hours: 36L
Canadian Jewish History,CDN280H1,"This course focuses on initial settlement patterns of Jews in Toronto and elsewhere, community growth including suburbanization, and contemporary challenges such as anti-Semitism and assimilation.","Distribution Requirements: Humanities, Social Science",Breadth Requirements: Society and its Institutions (3),N/A,N/A,Hours: 24L
Topics in Canadian Studies II,CDN305H1,An in-depth study of selected questions in contemporary Canadian culture and society. Content will vary from year to year. Specific course information will be available on the Canadian Studies website at www.uc.utoronto.ca/canadianstudies/.,"Distribution Requirements: Humanities, Social Science",N/A,N/A,N/A,Hours: 24L
Asian Cultures in Canada,CDN307H1,"An exploration of the cultural histories and creative productions of a wide range of Asian communities in Canada. Experts in specific areas - literature, dance, drama, film - will be invited to present their work.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),N/A,N/A,Hours: 24S
Asian Canadian Space & Place,CDN325H1,"A comprehensive examination of how Asian Canadian communities shape urban and suburban environments. Explore how urban planning and peoples’ local decisions interact to create space, place, and culture. The course applies a multidisciplinary lens, with an emphasis on culture and heritage, place and identity formation, diasporas, multiculturalism, and nationalism.",Distribution Requirements: Social Science,Breadth Requirements: Society and its Institutions (3),Prerequisite: 5.0 credits. Students who do not meet the prerequisite are encouraged to contact the instructor.,N/A,Hours: 24L
Black Canadian Studies,CDN335H1,"An interdisciplinary course that interrogates the constitution of Blackness in Canada. Students will study race and ethnic relations, alongside other identity formations such as class, gender and sexuality. Topics to be addressed include media, education, law, immigration and mobility, urbanism, work, political representation and the arts.",Distribution Requirements: Social Science,Breadth Requirements: Society and its Institutions (3),N/A,N/A,Hours: 24S
The History of Canadian-U.S. Relations,CDN340H1,"Over time, Canadians and Americans have developed distinct identities and cultures, but their histories have always been closely linked. This course examines the complex interrelationship between Canada and the United States. from the colonial period through the present day, especially its political, cultural, and indigenous dimensions.",Distribution Requirements: Social Science,Breadth Requirements: Society and its Institutions (3),Prerequisite: 0.5 CDN credit. Students who do not meet the prerequisite are encouraged to contact the instructor.,N/A,Hours: 24L
"Digital Media, Digital Makers",CDN355H1,"This course is an introduction to Digital Humanities interdisciplinary research and practice relevant to Canadian Studies broadly. Working with a range of digital tools and platforms for text analysis, story mapping, data visualization, and digital curation, student projects will engage critically and creatively with theoretical and practical questions encountered in digital knowledge production in different disciplines (Humanities and Social Sciences). No prior tech experience required.",Distribution Requirements: Social Science,Breadth Requirements: Society and its Institutions (3),N/A,N/A,Hours: 24S
The Canadian Arctic,CDN365H1,"This course surveys topics related to the Canadian Arctic. Through a critical interdisciplinary lens, the course looks at a broad set of issues including discovery and history, the environment and climate change, economic and resource development, sovereignty and security, social conditions, governance, and First Nations, Inuit, and Metis perspectives.",Distribution Requirements: Social Science,Breadth Requirements: Society and its Institutions (3),Prerequisite: 4.0 credits or 1.0 credit in Canadian Studies,N/A,Hours: 24S
Canadian Pluralism,CDN367H1,"Students will examine the complexities of social and cultural interaction in the context of changing Canadian demographics. This course compares and contrasts policies regarding Indigenous rights, migration, multiculturalism, and citizenship with contemporary cultural narratives in literature, painting and film.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),Prerequisite: CDN267H1/ CDN268H1 or permission of instructor,N/A,Hours: 24S
Canada's Borders,CDN368H1,"The Canadian border is being reshaped by the increasing transnational movement of people, goods and ideas. Students will examine border issues relating to mobility, trade, and security from a wide range of interdisciplinary perspectives, from public policy to contemporary media, such as TV, films, and novels.",Distribution Requirements: Social Science,Breadth Requirements: Society and its Institutions (3),Prerequisite: CDN267H1/ CDN268H1 or permission of instructor,N/A,Hours: 24S
Special Topics in Canadian Studies,CDN370H1,An in-depth study of selected questions in contemporary Canadian culture and society. Content will vary from year to year. Specific course information will be available on the Canadian Studies website at www.uc.utoronto.ca/canadianstudies/.,N/A,N/A,Prerequisite: 8.0 credits completed.,N/A,Hours: 24S
Socio-Cultural Perspective of the Canadian Jewish Community,CDN380H1,"This course examines: the relationship between prominent Canadians who happen to be Jews and those whose works are founded in Jewish identity; the diversity of the community on the basis of religion, language, class, ideology, etc.; contributions to the arts and scholarship; and the role and contribution of Jewish women.","Distribution Requirements: Humanities, Social Science",Breadth Requirements: Creative and Cultural Representations (1),N/A,N/A,Hours: 24L
"Re-Imagining Canada: Creative Visions of Our Past, Present, and Futures",CDN385H1,"Artists and writers are re-imagining Canada, exploring alternate pasts, presents, and futures, often critiquing systemic inequities by positing “what ifs” of resistance and renewal, while reclaiming agency, voice, and power for those who are disadvantaged in society. This course will examine these re-imaginings across various media such as fiction, poetry, graphic novels, films, multimedia installations, performance art, paintings, virtual reality works, and video games. Examples will be drawn from a wide variety of genres such as speculative fiction, Afrofuturism, Indigenous arctic horror, trans, queer, Indigenous and Indigiqueer perspectives.",Distribution Requirements: Humanities,Breadth Requirements: Creative and Cultural Representations (1),Prerequisite: Completion of 4.0 credits,N/A,Hours: 24S
